S1_ZINDO,S1_TDDFT,S1_ML
3.9704,4.5863,4.68832237030654
3.6042,4.3991,4.32107240798141
3.3414,4.289,4.24644409239714
3.3177,4.017,3.81924746484464
3.4057,4.4519,4.46430251134336
3.5799,4.5967,4.56364707655244
3.7064,4.6788,4.67863746030346
2.7596,3.2129,3.21106490674045
2.1012,3.4141,2.93183489313607
3.2116,3.8096,4.15932027497252
3.3624,4.3056,4.20583092799716
2.7788,3.2829,3.23362254353605
3.2106,3.6622,3.79392714532949
2.4851,3.3371,3.41700035981808
2.5101,3.3838,3.31336487352267
3.4973,3.7851,4.12143557139044
2.8091,3.7447,3.77421096240158
2.4534,3.0686,3.25594396848834
3.3444,3.879,3.88582059959929
2.8087,3.6045,3.60752905355199
3.3572,4.6767,4.47100675706359
3.1336,3.192,3.24602773115079
2.4975,3.3949,3.39023928097611
2.5212,3.1822,3.23176220408422
3.5104,4.4826,4.53174200194514
3.6587,4.8595,4.73630913398752
3.6144,4.3337,4.22588783797564
3.1022,3.8663,4.19625709906935
3.3764,4.427,4.52445400475496
3.8685,4.8181,4.5624835715051
3.8428,4.4727,4.6219519709991
4.1883,5.5912,5.15245073712844
2.5363,3.3547,3.38862341218664
3.6039,4.5799,4.62682689119915
2.9766,3.8459,3.80314578937351
3.507,4.1789,4.21514292513689
4.2196,5.295,5.30726121115136
3.6379,4.4729,4.34097877972562
2.9216,3.8128,3.74805848812221
3.5102,4.5366,4.64096140229391
3.6733,4.9027,4.79367607151273
3.4319,4.7719,4.55907639116355
3.416,4.8514,4.57892609760933
3.3779,4.3767,4.51693584108526
3.3239,4.3581,4.39315748549737
3.2991,4.2888,4.43638123968033
3.2794,4.2625,4.14600785750723
2.3536,3.0329,3.55499177112656
2.5001,3.3786,3.44073381667238
3.5971,4.3787,4.37664674532432
3.7062,4.6214,4.60165039575951
2.5174,3.386,3.39623250172284
2.5208,3.387,3.48283696252833
2.5406,3.2933,3.2992759877747
3.9021,4.4585,4.71319604020066
3.4222,4.2449,4.09861859552454
2.5103,3.3688,3.48795231515377
2.4977,4.3571,3.41023279802858
2.4964,4.0487,3.42851527207883
2.4933,3.264,3.20992565603741
3.5694,4.8756,4.84821296004115
3.4804,4.713,4.47207328880152
3.8955,5.169,5.02615929370743
3.639,4.5899,4.73303219168224
3.5829,4.3981,4.51391796704632
3.6563,4.4133,4.69799301532054
2.5091,3.3735,3.37023284673451
3.5318,3.547,3.86887679019672
3.0738,3.7907,3.83677265212088
4.1767,4.5928,4.90820277006588
2.4365,3.1357,3.40268705038247
3.0043,3.8052,3.7722591133565
3.5435,4.3368,4.60304933268811
3.3003,4.2659,4.15019571370454
3.0368,3.8782,3.71225754214623
2.6288,2.9477,3.148171702573
2.5051,3.1879,3.14994040274708
4.195,4.6623,4.754172536671
3.5988,4.8164,4.51106513154909
3.642,4.8257,4.77367723421925
2.4927,3.4094,3.42636489896775
3.3742,4.4047,4.5426889508872
2.9742,3.8947,3.90733170390807
2.5085,3.3924,3.37005739964802
3.5997,4.3346,4.54652944091044
2.9165,3.7098,3.786903669752
2.5041,3.2538,3.28675889638291
3.4102,4.2168,4.24382404848619
2.9452,3.8481,3.98642570449754
3.2574,3.749,3.82540550006232
3.6413,4.7842,4.90795719791901
3.8175,4.7335,4.9537711460633
3.3776,4.3415,4.38976681023243
3.6692,4.5414,4.66485568320886
4.1106,5.385,5.38550732022818
